,Species,CAS,YSI,YSI(cv),YSI(cv_err)
199,1-methoxy-2-propanol,107-98-2,-21.7,-18.567211151123047,2.961104154586792
200,3-methoxy-1-propanol,1589-49-7,-19.3,-19.048974990844727,3.0480523109436035
201,2-ethoxyethanol,110-80-5,-22.8,-26.393293380737305,4.877516746520996
202,trimethoxymethane,149-73-5,-27.2,-25.203989028930664,4.410766124725342
203,2-hydroxy-methylpropionate,27871-49-4,-32.3,-24.691865921020508,4.825612545013428
204,"2,2-dimethoxypropane",77-76-9,-21.7,-11.929332733154297,3.9867165088653564
205,1-methoxy-2-butanol,53778-73-7,-16.4,-12.759007453918457,2.5994062423706055
206,diethoxymethane,462-95-3,-18.4,-15.810809135437012,3.9435462951660156
207,"1,1,1-trimethoxyethane",1445-45-0,-27.5,-17.705419540405273,4.342261791229248
208,diethyl  carbonate,105-58-8,-23.4,-15.851726531982422,4.837828636169434
209,"1,1-dimethoxy-2-propanone",6342-56-9,-24.2,-28.517831802368164,5.013027191162109
210,2-butoxyethanol,111-76-2,-7.8,-10.885059356689453,3.6527810096740723
211,diglyme,111-96-6,-22.1,-14.344149589538574,5.815290927886963
212,"1,1-diethoxyethane",105-57-7,-12.3,-11.379613876342773,3.5062296390533447
213,3-methoxy-3-methyl-1-butanol,56539-66-3,4.4,5.178915023803711,5.298336505889893
214,1-propoxy-2-propanol,1569-01-3,-7.1,-1.0062519311904907,4.291471004486084
215,"1,2-diethoxyethane",629-14-1,-15.5,-13.711509704589844,3.633674144744873
216,1-butoxy-2-propanol,5131-66-8,2.0,5.73653507232666,5.9022650718688965
217,1-tert-butoxy-2-propanol,57018-52-7,21.1,15.229854583740234,5.074614524841309
218,"1,1-diethoxypropane",4744-08-5,-4.7,-1.7358498573303223,5.289251327514648
219,dipropyl  carbonate,623-96-1,6.4,-2.3417513370513916,5.453056812286377
